d,p,shots,nfails_org,nfails_em
3,0.03,10000000.0,322669.0,323456.0
3,0.05,1000000.0,79384.0,79530.0
5,0.03,10000000.0,123717.0,123855.0
5,0.05,1000000.0,48370.0,48618.0
7,0.03,10000000.0,53368.0,53212.0
7,0.05,1000000.0,33189.0,33081.0
9,0.03,10000000.0,23663.0,24118.0
9,0.05,1000000.0,24332.0,24466.0
11,0.03,10000000.0,10891.0,11023.0
11,0.05,1000000.0,18272.0,18192.0
13,0.03,10000000.0,4983.0,4955.0
13,0.05,1000000.0,13393.0,13637.0
15,0.03,10000000.0,2150.0,2096.0
15,0.05,1000000.0,9729.0,9737.0
17,0.03,10000000.0,1016.0,1013.0
17,0.05,1000000.0,7054.0,7150.0
19,0.03,10000000.0,428.0,436.0
19,0.05,1000000.0,5144.0,5271.0
21,0.03,10000000.0,189.0,197.0
21,0.05,1000000.0,3814.0,3640.0
23,0.03,10000000.0,69.0,83.0
23,0.05,1000000.0,2766.0,2674.0
25,0.03,10000000.0,25.0,26.0
25,0.05,1000000.0,1966.0,1981.0
27,0.03,10000000.0,14.0,12.0
27,0.05,1000000.0,1496.0,1501.0
29,0.03,10000000.0,9.0,8.0
29,0.05,1000000.0,1089.0,1114.0
31,0.03,10000000.0,5.0,2.0
31,0.05,1000000.0,811.0,809.0
